timestamp,corridor,intersection_id,speed,volume,lane,occupancy,weather,wait_time
2026-07-04T08:00:00Z,Corridor A (Downtown Express),INT-102,40,52,3,31,Foggy,64
2026-07-04T08:00:00Z,Corridor B (Westside Arterial),INT-111,39,47,1,39,Clear,50
2026-07-04T08:00:00Z,Corridor D (Industrial Loop),INT-132,49,20,3,6,Clear,12
2026-07-04T08:00:00Z,Corridor C (University Way),INT-122,28,42,1,18,Clear,30
2026-07-04T08:00:00Z,Corridor C (University Way),INT-121,38,34,2,27,Clear,32
2026-07-04T08:00:00Z,Corridor E (Airport Bypass),INT-141,37,68,3,38,Rainy,61
2026-07-04T08:00:00Z,Corridor A (Downtown Express),INT-105,61,55,2,27,Clear,46
2026-07-04T08:00:00Z,Corridor A (Downtown Express),INT-104,56,50,3,28,Clear,35
2026-07-04T08:00:00Z,Corridor D (Industrial Loop),INT-133,45,36,2,19,Clear,31
2026-07-04T08:00:00Z,Corridor B (Westside Arterial),INT-115,34,53,1,40,Clear,49
2026-07-04T08:00:01Z,Corridor E (Airport Bypass),INT-145,55,29,2,11,Clear,19
2026-07-04T08:00:01Z,Corridor B (Westside Arterial),INT-112,37,44,2,37,Clear,39
2026-07-04T08:00:01Z,Corridor D (Industrial Loop),INT-132,44,57,3,38,Clear,50
2026-07-04T08:00:01Z,Corridor E (Airport Bypass),INT-145,36,57,2,30,Rainy,52
2026-07-04T08:00:01Z,Corridor E (Airport Bypass),INT-144,47,62,1,44,Clear,52
2026-07-04T08:00:01Z,Corridor D (Industrial Loop),INT-134,35,14,2,12,Rainy,38
2026-07-04T08:00:01Z,Corridor E (Airport Bypass),INT-141,43,45,1,20,Rainy,52
2026-07-04T08:00:01Z,Corridor C (University Way),INT-121,29,23,1,17,Clear,27
2026-07-04T08:00:01Z,Corridor E (Airport Bypass),INT-143,42,79,1,57,Foggy,68
2026-07-04T08:00:01Z,Corridor B (Westside Arterial),INT-114,37,45,3,33,Clear,40
2026-07-04T08:00:02Z,Corridor D (Industrial Loop),INT-131,44,32,4,20,Clear,30
2026-07-04T08:00:02Z,Corridor A (Downtown Express),INT-105,49,41,4,26,Clear,38
2026-07-04T08:00:02Z,Corridor A (Downtown Express),INT-105,55,60,2,35,Clear,47
2026-07-04T08:00:02Z,Corridor E (Airport Bypass),INT-144,45,52,2,39,Clear,44
2026-07-04T08:00:02Z,Corridor B (Westside Arterial),INT-111,32,83,3,61,Clear,72
2026-07-04T08:00:02Z,Corridor A (Downtown Express),INT-103,48,78,3,56,Clear,68
2026-07-04T08:00:02Z,Corridor D (Industrial Loop),INT-134,40,61,1,42,Clear,59
2026-07-04T08:00:02Z,Corridor B (Westside Arterial),INT-112,39,38,4,27,Clear,43
2026-07-04T08:00:02Z,Corridor E (Airport Bypass),INT-141,49,56,2,29,Clear,41
2026-07-04T08:00:02Z,Corridor E (Airport Bypass),INT-144,55,42,3,18,Clear,30
2026-07-04T08:00:03Z,Corridor E (Airport Bypass),INT-141,54,49,1,23,Clear,43
2026-07-04T08:00:03Z,Corridor A (Downtown Express),INT-104,61,47,4,37,Clear,50
2026-07-04T08:00:03Z,Corridor A (Downtown Express),INT-103,58,21,1,12,Clear,21
2026-07-04T08:00:03Z,Corridor A (Downtown Express),INT-103,53,72,1,40,Clear,63
2026-07-04T08:00:03Z,Corridor E (Airport Bypass),INT-141,46,69,3,54,Clear,65
2026-07-04T08:00:03Z,Corridor B (Westside Arterial),INT-112,30,33,3,16,Clear,32
2026-07-04T08:00:03Z,Corridor D (Industrial Loop),INT-132,43,46,2,39,Clear,51
2026-07-04T08:00:03Z,Corridor D (Industrial Loop),INT-133,33,21,2,15,Clear,17
2026-07-04T08:00:03Z,Corridor C (University Way),INT-125,40,55,3,32,Clear,52
2026-07-04T08:00:03Z,Corridor E (Airport Bypass),INT-142,37,62,2,32,Rainy,61
2026-07-04T08:00:04Z,Corridor D (Industrial Loop),INT-132,50,50,1,36,Clear,44
2026-07-04T08:00:04Z,Corridor B (Westside Arterial),INT-112,35,46,3,25,Clear,46
2026-07-04T08:00:04Z,Corridor E (Airport Bypass),INT-141,37,51,2,41,Foggy,58
2026-07-04T08:00:04Z,Corridor B (Westside Arterial),INT-112,28,48,2,35,Foggy,65
2026-07-04T08:00:04Z,Corridor D (Industrial Loop),INT-134,32,29,4,20,Rainy,30
2026-07-04T08:00:04Z,Corridor E (Airport Bypass),INT-145,53,56,1,39,Clear,56
2026-07-04T08:00:04Z,Corridor C (University Way),INT-125,27,42,4,18,Clear,41
2026-07-04T08:00:04Z,Corridor A (Downtown Express),INT-101,54,59,4,35,Clear,47
2026-07-04T08:00:04Z,Corridor D (Industrial Loop),INT-134,46,70,2,42,Clear,61
2026-07-04T08:00:04Z,Corridor B (Westside Arterial),INT-111,32,69,4,55,Clear,64
2026-07-04T08:00:05Z,Corridor D (Industrial Loop),INT-134,42,31,2,24,Clear,26
2026-07-04T08:00:05Z,Corridor D (Industrial Loop),INT-135,33,65,4,39,Rainy,57
2026-07-04T08:00:05Z,Corridor C (University Way),INT-121,25,24,1,24,Clear,29
2026-07-04T08:00:05Z,Corridor E (Airport Bypass),INT-145,52,39,3,23,Clear,41
2026-07-04T08:00:05Z,Corridor A (Downtown Express),INT-102,50,70,4,47,Clear,54
2026-07-04T08:00:05Z,Corridor C (University Way),INT-124,31,33,2,17,Rainy,50
2026-07-04T08:00:05Z,Corridor D (Industrial Loop),INT-135,41,37,3,23,Foggy,55
2026-07-04T08:00:05Z,Corridor D (Industrial Loop),INT-131,44,37,3,17,Clear,32
2026-07-04T08:00:05Z,Corridor D (Industrial Loop),INT-133,38,56,1,41,Clear,48
2026-07-04T08:00:05Z,Corridor C (University Way),INT-124,23,20,2,5,Rainy,36
2026-07-04T08:00:06Z,Corridor E (Airport Bypass),INT-144,56,56,4,39,Clear,44
2026-07-04T08:00:06Z,Corridor B (Westside Arterial),INT-115,29,62,3,42,Clear,54
2026-07-04T08:00:06Z,Corridor D (Industrial Loop),INT-132,30,33,1,14,Rainy,37
2026-07-04T08:00:06Z,Corridor C (University Way),INT-125,31,60,4,36,Clear,45
2026-07-04T08:00:06Z,Corridor E (Airport Bypass),INT-144,52,70,2,44,Clear,51
2026-07-04T08:00:06Z,Corridor B (Westside Arterial),INT-112,26,65,3,49,Clear,64
2026-07-04T08:00:06Z,Corridor A (Downtown Express),INT-103,40,36,3,14,Foggy,35
2026-07-04T08:00:06Z,Corridor C (University Way),INT-121,25,49,1,34,Clear,44
2026-07-04T08:00:06Z,Corridor C (University Way),INT-121,28,44,2,35,Clear,36
2026-07-04T08:00:06Z,Corridor D (Industrial Loop),INT-135,43,24,2,23,Clear,24
